departures_performed,seats,passengers,distance,air_time,unique_carrier,airline_id,origin_airport_id,origin,dest_airport_id,dest,aircraft_group,aircraft_type,year,month
86,2924,2371,96,2854,3M,20401,11731,FPO,11697,FLL,4,456,2019,4
6,900,852,1754,1406,UA,19977,10721,BOS,11292,DEN,6,694,2018,6
17,3379,2280,880,2305,DL,19790,10397,ATL,11032,CUN,6,622,2019,1
1,186,142,836,131,F9,20436,11884,GEG,11292,DEN,6,722,2019,6
3,27,6,43,44,8E,20331,13942,ORV,13970,OTZ,4,415,2018,5
3,498,292,667,265,UA,19977,12266,IAH,11540,ELP,6,614,2018,6
1,186,165,781,96,G4,20368,11697,FLL,13931,ORF,6,694,2019,11
2,0,0,141,97,7S,20330,12704,KKA,13970,OTZ,4,412,2018,9
36,2736,2480,224,1712,QX,19687,11884,GEG,14747,SEA,6,673,2018,12
24,0,0,286,1117,KD,21629,14730,SDF,13930,ORD,7,740,2019,5
29,4640,3216,842,3042,AA,19805,15370,TUL,11057,CLT,6,614,2018,1
37,2812,2436,1008,4808,OO,20304,13487,MSP,11618,EWR,6,638,2018,4
1,9,9,246,88,8V,20333,12868,KYU,13415,MNT,4,416,2019,12
40,0,0,610,3344,FX,20107,13244,MEM,11433,DTW,7,740,2018,6
77,3850,3288,562,6274,EV,20366,12266,IAH,10599,BHM,6,675,2018,5
18,2700,2473,2358,4571,UA,19977,14893,SMF,12264,IAD,6,694,2019,2
4,24,5,27,54,K2,21820,15257,TLT,12855,KWT,0,35,2019,8
29,2030,1761,689,3191,EV,20366,10397,ATL,12266,IAH,6,673,2019,11
1,0,0,286,46,5X,19917,13930,ORD,14730,SDF,7,740,2019,9
11,836,780,1337,1837,OO,20304,11292,DEN,11057,CLT,6,673,2018,6
34,2584,1580,311,1713,OO,20304,13485,MSN,11433,DTW,6,638,2019,4
38,5700,4704,1504,6676,UA,19977,14771,SFO,10423,AUS,6,694,2018,12
2,376,269,255,89,AA,19805,12889,LAS,14107,PHX,6,622,2018,11
124,15872,8482,612,12079,UA,19977,11278,DCA,13930,ORD,6,698,2018,1
1,50,0,240,38,EV,20366,13930,ORD,11267,DAY,6,675,2018,5
4,0,0,103,199,EM,20263,14489,RDM,11603,EUG,4,416,2018,4
23,0,0,111,1138,FX,20107,12436,IYK,13891,ONT,4,416,2018,8
1,44,44,621,93,MQ,20398,13930,ORD,10821,BWI,6,676,2019,9
1,200,152,942,137,B6,20409,10721,BOS,10693,BNA,6,699,2019,4
11,0,0,1808,2400,ABX,20453,11193,CVG,14843,SJU,6,625,2019,2
49,7350,6587,977,6814,UA,19977,13930,ORD,10423,AUS,6,694,2018,11
52,8320,6270,761,5530,AA,19805,12339,IND,11298,DFW,6,614,2018,8
5,900,698,1143,701,NK,20416,11697,FLL,10411,AUA,6,694,2018,3
26,6082,5474,1535,5206,DL,19790,13487,MSP,12892,LAX,6,623,2018,9
21,3675,1807,647,1821,WN,19393,14893,SMF,14107,PHX,6,614,2019,1
31,1550,1236,647,2780,EV,20366,11187,CUU,12266,IAH,6,675,2019,3
9,1701,983,1039,1193,SY,20422,13487,MSP,13495,MSY,6,614,2019,1
32,2432,1810,373,2046,OO,20304,14893,SMF,12892,LAX,6,673,2019,5
5,640,617,1468,939,AA,19805,11032,CUN,14100,PHL,6,698,2019,6
60,4524,3196,395,4013,OO,20304,13487,MSP,16232,YWG,6,673,2019,1
96,4800,4478,348,6032,EV,20366,11618,EWR,16271,YYZ,6,675,2019,8
48,240,91,47,1272,2O,20443,10170,ADQ,13863,OLH,0,79,2018,6
63,4095,3095,723,7432,MQ,20398,10257,ALB,13930,ORD,6,631,2019,1
24,0,0,324,1424,FX,20107,10562,BFM,13244,MEM,6,691,2019,12
12,912,664,137,417,OO,20304,11986,GRR,13930,ORD,6,673,2019,6
26,3718,2547,571,2466,WN,19393,11481,ECP,12191,HOU,6,612,2019,1
174,27839,23819,1119,24042,AA,19805,11298,DFW,11697,FLL,6,614,2018,2
3,525,456,277,149,WN,19393,10821,BWI,14576,ROC,6,838,2018,11
