departures_performed,seats,passengers,distance,air_time,unique_carrier,airline_id,origin_airport_id,origin,dest_airport_id,dest,aircraft_group,aircraft_type,year,month
6,300,99,405,441,AX,20237,12953,LGA,14574,ROA,6,675,2017,3
30,5340,5037,2520,8893,AS,19930,14747,SEA,15304,TPA,6,888,2019,7
1,0,0,1862,228,ABX,20453,12239,HUX,12892,LAX,6,625,2018,9
1,150,141,606,87,DL,19790,13930,ORD,10397,ATL,6,694,2015,5
1,183,153,1745,198,SY,20422,10590,IFP,11433,DTW,6,614,2018,11
2,354,186,554,150,G4,20368,14986,SRQ,10431,AVL,6,694,2019,2
7,0,0,2603,2367,5X,19917,13891,ONT,12173,HNL,8,819,2019,3
57,8550,7026,651,5029,AA,19805,13495,MSY,11057,CLT,6,694,2019,5
4,572,551,1709,878,WN,19393,15016,STL,14747,SEA,6,612,2018,5
13,3279,3236,5109,0,DE,20120,14747,SEA,11760,FRA,6,626,2017,6
1,76,38,616,95,OO,20304,15919,XNA,11292,DEN,6,673,2017,4
3,228,149,391,180,OH,20397,11267,DAY,11278,DCA,6,638,2019,2
25,3750,2994,2378,8363,US,20355,14100,PHL,14747,SEA,6,694,2015,2
1,177,124,503,66,G4,20368,12951,LFT,10397,ATL,6,694,2018,11
1,236,216,3404,0,LH,19554,11435,DUB,12264,IAD,6,696,2016,9
2,300,120,79,42,23Q,21645,15096,SYR,14576,ROC,6,617,2015,9
3,228,136,66,55,OO,20304,14683,SAT,10423,AUS,6,673,2016,5
42,0,0,700,4011,FX,20107,13487,MSP,13244,MEM,6,626,2019,9
27,2969,2135,692,2546,DL,19790,10397,ATL,10135,ABE,6,608,2017,4
1,179,158,1486,0,Y4,21351,11874,GDL,13204,MCO,6,694,2019,5
34,306,110,74,890,8E,20331,13970,OTZ,10640,BKC,4,415,2017,5
1,99,54,364,57,YX,20452,10158,ACY,14321,PWM,6,678,2015,2
32,4576,3197,480,2260,WN,19393,13232,MDW,13244,MEM,6,612,2019,8
87,6606,5067,867,11033,CP,21167,12889,LAS,14747,SEA,6,673,2015,8
36,5148,4587,998,5490,WN,19393,10821,BWI,13495,MSY,6,612,2019,1
1,160,160,142,52,AA,19805,13931,ORF,11278,DCA,6,614,2019,7
3,525,205,677,270,WN,19393,12892,LAX,10140,ABQ,6,614,2015,8
42,6300,5707,1226,7052,B6,20409,10423,AUS,12954,LGB,6,694,2017,3
50,450,148,200,3500,9X,21618,13244,MEM,10693,BNA,4,416,2019,5
30,3540,2429,1265,5080,UA,19977,12266,IAH,12441,JAC,6,612,2016,7
26,3718,3341,1671,4938,WN,19393,11292,DEN,10529,BDL,6,612,2015,5
1,76,75,106,92,S5,20448,14122,PIT,11042,CLE,6,673,2015,6
21,3675,3467,1090,3261,WN,19393,10423,AUS,12889,LAS,6,614,2017,11
5,0,0,872,986,FX,20107,11292,DEN,13244,MEM,6,691,2019,9
3,203,162,1232,489,CP,21167,12892,LAX,13514,MTY,6,677,2016,10
45,0,0,143,2466,FX,20107,11618,EWR,10257,ALB,4,416,2019,6
53,3716,3044,860,7177,OO,20304,10721,BOS,13342,MKE,6,673,2019,10
1,9,7,147,56,8E,20331,15478,UNK,13873,OME,4,415,2019,8
1,128,122,954,114,UA,19977,14747,SEA,12892,LAX,6,698,2018,12
5,250,199,613,460,OH,20397,11278,DCA,12217,HSV,6,629,2019,10
1,180,171,1754,209,DL,19790,10397,ATL,14849,SKB,6,622,2016,1
14,518,350,228,926,PT,20427,14100,PHL,15096,SYR,4,483,2017,2
4,744,720,1073,620,F9,20436,10257,ALB,13204,MCO,6,722,2019,12
1,149,0,228,45,09Q,21161,14100,PHL,15096,SYR,6,619,2015,11
18,900,754,265,841,OO,20304,13930,ORD,11193,CVG,6,629,2015,4
1,166,151,870,114,G4,20368,11823,FWA,14761,SFB,6,655,2017,9
59,4484,3831,689,6749,YX,20452,10397,ATL,12266,IAH,6,673,2019,3
102,7728,6982,391,6814,OO,20304,11292,DEN,14869,SLC,6,673,2019,6
292,45590,41251,867,32518,AA,19805,13930,ORD,10721,BOS,6,614,2015,8
57,8550,7287,1400,9459,UA,19977,12266,IAH,11618,EWR,6,694,2018,2
11,99,39,95,432,GV,20455,11227,CYF,10551,BET,4,416,2017,4
10,1750,1646,1610,2265,WN,19393,10257,ALB,11292,DEN,6,614,2018,12
20,0,0,1569,4212,5Y,20007,11193,CVG,14107,PHX,6,625,2017,4
33,5202,4169,2615,9563,UA,19977,12982,LIH,12892,LAX,6,614,2016,3
18,1368,1139,201,758,G7,20500,14122,PIT,11433,DTW,6,638,2016,6
6,414,348,109,176,CP,21167,12892,LAX,14679,SAN,6,677,2016,6
2,140,84,86,40,OO,20304,14771,SFO,14893,SMF,6,631,2016,7
1,0,0,958,119,5Y,20007,10423,AUS,11193,CVG,6,625,2017,10
1,69,0,870,131,OO,20304,11423,DSM,14683,SAT,6,631,2018,4
28,4212,3525,404,1705,B6,20409,10397,ATL,13204,MCO,6,694,2019,9
3,193,128,842,339,OH,20397,11057,CLT,15370,TUL,6,631,2018,8
86,4300,3817,300,4606,9E,20363,11953,GNV,10397,ATL,6,629,2017,8
53,2650,1609,565,4276,9E,20363,10397,ATL,14108,PIA,6,629,2017,9
51,2550,2107,488,3965,AX,20237,11315,DIK,11292,DEN,6,675,2019,10
95,13300,10878,237,4448,AA,19805,15370,TUL,11298,DFW,6,655,2015,11
165,27390,25125,888,19289,UA,19977,11292,DEN,13930,ORD,6,614,2018,6
2,0,0,27,27,7S,20330,10304,ANI,12719,KLG,4,412,2015,2
38,0,0,160,1980,EM,20263,11413,DRO,10140,ABQ,4,416,2018,12
16,1228,922,357,1040,YX,20452,12953,LGA,16271,YYZ,6,673,2015,11
17,0,0,3728,8251,5X,19917,10920,CDG,14100,PHL,6,626,2016,12
117,5850,3816,150,3977,OO,20304,14113,PIH,14869,SLC,6,629,2018,8
1,8,2,591,78,LF,21635,13244,MEM,11986,GRR,6,684,2018,5
23,4155,3534,1448,4431,AS,19930,14747,SEA,10299,ANC,6,634,2017,2
22,0,0,5066,12771,FX,20107,12173,HNL,15092,SYD,7,740,2015,7
5,750,682,1447,864,F9,20436,11292,DEN,12451,JAX,6,698,2019,5
4,700,686,1912,975,WN,19393,10792,BUF,14107,PHX,6,614,2016,6
23,4025,2219,314,1147,WN,19393,10821,BWI,11042,CLE,6,614,2016,8
2,0,0,3043,0,BR,20005,10299,ANC,11298,DFW,6,627,2018,5
1,1,1,15,8,7S,20330,12709,KKI,10551,BET,4,416,2019,10
1,6,3,35,13,H6,20336,14130,PKA,11492,EEK,0,35,2017,7
9,1062,743,1874,2464,UA,19977,11618,EWR,12441,JAC,6,612,2015,1
25,1100,924,130,860,MQ,20398,14108,PIA,13930,ORD,6,676,2019,11
32,2106,1363,391,1974,OH,20397,11267,DAY,11278,DCA,6,631,2016,8
22,5566,3947,4714,0,SQ,19572,12266,IAH,13165,MAN,6,359,2018,7
34,306,69,49,732,H6,20336,15478,UNK,14895,SMK,4,416,2017,8
9,1467,1350,1489,1552,AS,19930,14747,SEA,13198,MCI,6,614,2015,6
9,293,210,288,669,7H,20327,10299,ANC,10245,AKN,4,483,2019,5
49,3430,3197,916,5597,G7,20500,14689,SBA,11292,DEN,6,631,2019,3
4,740,480,2454,1316,VX,21171,11618,EWR,12892,LAX,6,721,2018,1
3,525,392,1497,517,WN,19393,13796,OAK,10423,AUS,6,614,2018,3
1,0,0,17,8,7S,20330,11227,CYF,12779,KPN,4,412,2016,5
49,2450,1456,554,4176,OH,20397,14100,PHL,15412,TYS,6,629,2017,8
1,6,0,71,36,GV,20455,12853,KWN,15293,TOG,0,35,2015,7
23,4117,2946,224,947,UA,19977,12264,IAD,14492,RDU,6,634,2017,11
4,640,566,1699,826,AA,19805,11298,DFW,14153,PLS,6,614,2015,6
1,0,0,521,73,5V,20408,13873,OME,11630,FAI,6,640,2016,1
13,2315,2045,2046,0,Y4,21351,14057,PDX,11874,GDL,6,694,2016,10
6,800,651,1701,0,WS,20229,10693,BNA,16257,YYC,6,612,2017,7
30,5430,4057,2218,7836,AA,19805,12892,LAX,13204,MCO,6,699,2015,5
30,2100,1498,235,1509,YX,20452,11433,DTW,13930,ORD,6,677,2017,1
